"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","stripped_text"
"1","ashleylackore","1010322966",2017-09-22 17:12:46,"911277102493720576","""Do you drive tractor for your dad?""

""Does a John Deere riding lawn mower count?"" -Me",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Do you drive tractor for your dad?""

""Does a John Deere riding lawn mower count?"" -Me"
"2","CooperTrustee","555293085",2017-09-22 17:09:46,"911276347783286784","@KeithRabidoux You know you worked for John Deere for 14 years when you know exactly where Walton, ON is...",0,0,FALSE,NA,FALSE,NA,"911274312660869120","298106107","KeithRabidoux","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"KeithRabidoux","298106107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@KeithRabidoux You know you worked for John Deere for 14 years when you know exactly where Walton, ON is..."
"3","UKTractorSales","853261302109700096",2017-09-22 17:06:55,"911275631488278528","eBay: John Deere Tractor Green &amp; Yellow Gloss Enamel paint 400ml Aerosols https://t.co/zihaBJWZ2h #tractors #farming https://t.co/hjaH4WVJQI",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","dlvr.it","911275628032172032","http://pbs.twimg.com/media/DKWAWwVUIAAM4hU.jpg","https://twitter.com/UKTractorSales/status/911275631488278528/photo/1",NA,"rssdata.net/PpmY3d","http://rssdata.net/PpmY3d",NA,NA,NA,"tractors farming",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBay: John Deere Tractor Green &amp; Yellow Gloss Enamel paint 400ml Aerosols "
"4","USTractorSales","853266060413468672",2017-09-22 17:06:15,"911275461937840128","eBay: 2005 John Deere JD 5103 Tractor With Brush Hog https://t.co/vRMkknn0Dt #tractors #farming https://t.co/6FfRNsi7yE",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","dlvr.it","911275457491775488","http://pbs.twimg.com/media/DKWAM1BUMAAbQlU.jpg","https://twitter.com/USTractorSales/status/911275461937840128/photo/1",NA,"rssdata.net/PpmX8z","http://rssdata.net/PpmX8z",NA,NA,NA,"tractors farming",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBay: 2005 John Deere JD 5103 Tractor With Brush Hog "
"5","Lonagro","408333797",2017-09-22 17:02:31,"911274523118456832","John Deere 5042C special combination promotion. Contact us today for more information. https://t.co/qY56QD9G3h",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Facebook",NA,NA,NA,NA,"fb.me/8XFqr0lZH","http://fb.me/8XFqr0lZH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere 5042C special combination promotion. Contact us today for more information. "
"6","tractors_online","2792351902",2017-09-22 17:02:09,"911274428872495104","See This: John Deere 40/50 Series, 35.00 GBP. https://t.co/dnq8Yq0vEv https://t.co/AaaToOYmuY",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Webman StockTweet V2","911274427488358400","http://pbs.twimg.com/media/DKV_Q39XUAAwzl-.jpg","https://twitter.com/tractors_online/status/911274428872495104/photo/1",NA,"tractors-online.com/john-deere-405…","http://www.tractors-online.com/john-deere-4050-series/101840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"See This: John Deere 40/50 Series, 35.00 GBP. "
"7","JohnDeereJobs","819724806",2017-09-22 17:00:07,"911273920019431424","John Deere is hiring an Accounting Intern in Moline, IL https://t.co/PjTOqa02Xc #JDJobs #Jobs #Intern",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Spredfast",NA,NA,NA,NA,"bit.ly/2h4Nqy0","http://bit.ly/2h4Nqy0",NA,NA,NA,"JDJobs Jobs Intern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere is hiring an Accounting Intern in Moline, IL "
"8","TamraPhe","1453342411",2017-09-22 16:57:54,"911273360910356480","John Deere Giveaway https://t.co/jN1ahzVoId",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"a.pgtb.me/wjhL5K/mGJ2v","http://a.pgtb.me/wjhL5K/mGJ2v",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere Giveaway "
"9","ecwiscott","71381174",2017-09-22 16:53:30,"911272253404393473","@GoddessofGrain Oh I think you could drive one of these big John Deere's https://t.co/6W7evQ4wYu",0,1,FALSE,NA,FALSE,NA,"911221413775921152","851008638","GoddessofGrain","en","Twitter for Android","911272234672459776","http://pbs.twimg.com/media/DKV9RPFUEAAs4Hr.jpg","https://twitter.com/ecwiscott/status/911272253404393473/photo/1",NA,NA,NA,"GoddessofGrain","851008638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@GoddessofGrain Oh I think you could drive one of these big John Deere's "
"10","ECountryMusicR","713666547353563136",2017-09-22 16:52:44,"911272060307083264","#NowPlaying John Deere Beer by Robert Mizzell https://t.co/HyQKjrVc2j",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","SAM Broadcaster Cloud",NA,NA,NA,NA,"edinburghcountryradio.com","http://edinburghcountryradio.com/",NA,NA,NA,"NowPlaying",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#NowPlaying John Deere Beer by Robert Mizzell "
