"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","stripped_text"
"1","ingraham_vivian","2989121866",2017-10-24 22:10:07,"922948342312681472","john deere secondary tillage sales brochures 2015 https://t.co/2nXKvVr9qH https://t.co/3GXWHJZ957",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","dlvr.it","922948338881662976","http://pbs.twimg.com/media/DM74n80UEAABD_J.jpg","https://twitter.com/ingraham_vivian/status/922948342312681472/photo/1",NA,"dlvr.it/PxPtjM","http://dlvr.it/PxPtjM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john deere secondary tillage sales brochures 2015 "
"2","FfaPlattsburg","824736991594049540",2017-10-24 22:06:55,"922947539149774850","John Deere world headquarters visit. https://t.co/dqtWDgrq4e",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Tweet Push Messages","922947535190220801","http://pbs.twimg.com/media/DM735K1V4AEm54j.jpg","https://twitter.com/FfaPlattsburg/status/922947539149774850/photo/1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere world headquarters visit. "
"3","lawyers_miami44","234634252",2017-10-24 22:04:20,"922946886948081664","Sullair Air Compressor w/ John Deere 4039 diesel https://t.co/Srn9TChCaO",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","IFTTT",NA,NA,NA,NA,"izanami.airwolke.info/US/categories/…","http://izanami.airwolke.info/US/categories/twt/?item=322844577411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sullair Air Compressor w/ John Deere 4039 diesel "
"4","JayLo_91","2279607271",2017-10-24 22:00:58,"922946041472864258","John Deere",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere"
"5","machinefinder","19977407",2017-10-24 22:00:31,"922945929883340801","#TractorTuesday: 2016 #JohnDeere 9570RX with 467 hours and 570 hp https://t.co/KKcUw2o17c Offered by Valley Truck &amp;… https://t.co/acAeG1PL5o",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Hootsuite",NA,NA,NA,NA,"ow.ly/n9mS30g6B9S twitter.com/i/web/status/9…","http://ow.ly/n9mS30g6B9S https://twitter.com/i/web/status/922945929883340801",NA,NA,NA,"TractorTuesday JohnDeere",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#TractorTuesday: 2016 #JohnDeere 9570RX with 467 hours and 570 hp "
"6","peinecone","426047676",2017-10-24 21:52:05,"922943805380349952","Learning about the new John Deere combine...mostly over my head &amp; something about an 8820?!? #adventureswithdad&amp;gra… https://t.co/fHAKBWcAeu",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/922943805380349952",NA,NA,NA,"adventureswithdad",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Learning about the new John Deere combine...mostly over my head &amp; something about an 8820?!? #adventureswithdad&amp;gra… "
"7","dalebright","110860861",2017-10-24 21:51:31,"922943665533800453","Oh Deere lowered...... https://t.co/8jcsClMTQ4",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone","922943650237050880","http://pbs.twimg.com/media/DM70XCQU8AATWVL.jpg","https://twitter.com/dalebright/status/922943665533800453/photo/1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oh Deere lowered...... "
"8","noelle_minne","768658046306267140",2017-10-24 21:47:41,"922942698515873792","@jessxxidc @Deere_Girl99 You're so gorgeous!!!! <f0><U+009F><U+0092><U+0095><f0><U+009F><U+0092><U+0095><f0><U+009F><U+0092><U+0095>",0,0,FALSE,NA,FALSE,NA,"922675276781256706","3012957144","jessxxidc","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"jessxxidc Deere_Girl99","3012957144 2961918092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@jessxxidc @Deere_Girl99 You're so gorgeous!!!! <f0><U+009F><U+0092><U+0095><f0><U+009F><U+0092><U+0095><f0><U+009F><U+0092><U+0095>"
"9","chrvvst","493722485",2017-10-24 21:44:03,"922941782362505218","uiowa culture is saying you from the streets but you wearing a John Deere hat",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uiowa culture is saying you from the streets but you wearing a John Deere hat"
"10","kateybridges","2323215138",2017-10-24 21:41:40,"922941182904168448","She ain’t into cars or pickup trucks but if it runs like a Deere man her eyes light up.",1,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"She ain’t into cars or pickup trucks but if it runs like a Deere man her eyes light up."
